Epoch,Joint_loss,Rec_loss,KLD_loss,Total,Valid,Valid_rate,Unique,Unique_rate,Novelty,Novel_rate,Diversity
1,9.080,9.159,1.239,1376,9,0.65,9,100.00,9,100.00,0.91
2,4.688,4.782,0.070,1376,18,1.31,18,100.00,18,100.00,0.89
3,3.529,3.637,0.035,1376,66,4.80,65,98.48,65,100.00,0.88
4,2.873,2.991,0.029,1376,134,9.74,134,100.00,134,100.00,0.86
5,2.480,2.610,0.008,1376,234,17.01,234,100.00,232,99.15,0.86
6,2.238,2.380,0.011,1376,370,26.89,369,99.73,365,98.92,0.85
7,2.059,2.213,0.006,1376,469,34.08,466,99.36,462,99.14,0.85
8,1.929,2.096,0.009,1376,537,39.03,534,99.44,522,97.75,0.84
9,1.821,2.001,0.003,1376,616,44.77,611,99.19,599,98.04,0.84
10,1.730,1.922,0.005,1376,646,46.95,641,99.23,632,98.60,0.85
11,1.651,1.854,0.003,1376,743,54.00,729,98.12,714,97.94,0.85
12,1.576,1.791,0.003,1376,775,56.32,748,96.52,731,97.73,0.84
13,1.516,1.742,0.005,1376,794,57.70,780,98.24,760,97.44,0.85
14,1.452,1.689,0.001,1376,874,63.52,853,97.60,822,96.37,0.84
15,1.404,1.652,0.002,1376,839,60.97,822,97.97,789,95.99,0.84
16,1.347,1.604,0.002,1376,857,62.28,817,95.33,784,95.96,0.84
17,1.305,1.572,0.002,1376,878,63.81,849,96.70,806,94.94,0.84
18,1.258,1.534,0.001,1376,910,66.13,871,95.71,831,95.41,0.85
19,1.218,1.504,0.001,1376,956,69.48,906,94.77,859,94.81,0.84
20,1.178,1.472,0.001,1376,962,69.91,907,94.28,853,94.05,0.84
21,1.137,1.439,0.001,1376,932,67.73,897,96.24,846,94.31,0.84
22,1.101,1.411,0.001,1376,975,70.86,916,93.95,866,94.54,0.84
23,1.064,1.382,0.001,1376,1009,73.33,942,93.36,883,93.74,0.84
24,1.031,1.357,0.000,1376,967,70.28,894,92.45,839,93.85,0.84
25,0.998,1.330,0.002,1376,1047,76.09,973,92.93,912,93.73,0.83
26,0.968,1.308,0.000,1376,1080,78.49,988,91.48,924,93.52,0.84
27,0.938,1.285,0.000,1376,1042,75.73,979,93.95,919,93.87,0.85
28,0.942,1.266,0.107,1376,1070,77.76,965,90.19,880,91.19,0.84
29,0.884,1.245,0.000,1376,1081,78.56,985,91.12,901,91.47,0.84
30,0.858,1.226,-0.000,1376,1068,77.62,977,91.48,899,92.02,0.84
31,0.833,1.207,-0.000,1376,1043,75.80,976,93.58,903,92.52,0.84
32,0.806,1.185,-0.000,1376,1051,76.38,953,90.68,858,90.03,0.84
33,0.780,1.164,-0.000,1376,1074,78.05,956,89.01,853,89.23,0.83
34,0.758,1.148,-0.000,1376,1076,78.20,978,90.89,892,91.21,0.84
35,0.738,1.136,-0.000,1376,1101,80.01,991,90.01,893,90.11,0.84
36,0.714,1.116,-0.000,1376,1103,80.16,1007,91.30,897,89.08,0.84
37,0.692,1.099,-0.000,1376,1113,80.89,982,88.23,881,89.71,0.83
38,0.675,1.089,-0.000,1376,1119,81.32,986,88.11,866,87.83,0.84
39,0.655,1.074,-0.000,1376,1122,81.54,1006,89.66,903,89.76,0.84
40,0.638,1.064,0.000,1376,1139,82.78,1013,88.94,899,88.75,0.84
41,0.619,1.049,0.000,1376,1109,80.60,994,89.63,876,88.13,0.84
42,0.603,1.040,0.000,1376,1141,82.92,1026,89.92,908,88.50,0.84
43,0.587,1.029,0.000,1376,1090,79.22,969,88.90,859,88.65,0.84
44,0.568,1.015,0.000,1376,1096,79.65,985,89.87,870,88.32,0.84
45,0.551,1.001,0.000,1376,1115,81.03,988,88.61,879,88.97,0.83
46,0.536,0.993,0.000,1376,1123,81.61,1020,90.83,900,88.24,0.84
47,0.518,0.977,0.000,1376,1123,81.61,1002,89.23,887,88.52,0.84
48,0.506,0.972,0.000,1376,1109,80.60,980,88.37,866,88.37,0.84
49,0.491,0.963,0.000,1376,1133,82.34,986,87.03,864,87.63,0.84
50,0.475,0.950,0.000,1376,1107,80.45,970,87.62,847,87.32,0.84
51,0.474,0.947,0.000,1376,1158,84.16,989,85.41,855,86.45,0.83
52,0.474,0.948,0.000,1376,1133,82.34,983,86.76,852,86.67,0.84
53,0.470,0.941,0.000,1376,1163,84.52,1014,87.19,875,86.29,0.84
54,0.470,0.939,0.000,1376,1163,84.52,983,84.52,845,85.96,0.84
55,0.466,0.931,0.000,1376,1166,84.74,981,84.13,853,86.95,0.84
56,0.464,0.928,0.000,1376,1128,81.98,989,87.68,860,86.96,0.84
57,0.462,0.923,0.000,1376,1117,81.18,984,88.09,847,86.08,0.83
58,0.456,0.912,0.000,1376,1171,85.10,987,84.29,835,84.60,0.84
59,0.454,0.907,0.000,1376,1144,83.14,964,84.27,822,85.27,0.84
60,0.455,0.910,0.000,1376,1131,82.19,972,85.94,829,85.29,0.84
61,0.447,0.894,0.000,1376,1129,82.05,970,85.92,822,84.74,0.84
62,0.448,0.897,0.000,1376,1183,85.97,982,83.01,816,83.10,0.84
63,0.443,0.885,0.000,1376,1145,83.21,975,85.15,830,85.13,0.84
64,0.441,0.883,0.000,1376,1174,85.32,964,82.11,815,84.54,0.83
65,0.441,0.881,-0.000,1376,1168,84.88,965,82.62,802,83.11,0.84
66,0.448,0.873,0.022,1376,1161,84.38,997,85.87,871,87.36,0.84
67,0.436,0.867,0.005,1376,1167,84.81,997,85.43,852,85.46,0.84
68,0.434,0.868,-0.000,1376,1154,83.87,972,84.23,830,85.39,0.84
69,0.429,0.859,-0.000,1376,1187,86.26,1013,85.34,849,83.81,0.84
70,0.425,0.851,-0.000,1376,1198,87.06,995,83.06,844,84.82,0.84
71,0.425,0.850,-0.000,1376,1162,84.45,1007,86.66,860,85.40,0.84
72,0.426,0.852,-0.000,1376,1135,82.49,965,85.02,831,86.11,0.84
73,0.424,0.848,-0.000,1376,1159,84.23,998,86.11,843,84.47,0.84
74,0.421,0.842,-0.000,1376,1152,83.72,963,83.59,817,84.84,0.84
75,0.419,0.837,-0.000,1376,1177,85.54,990,84.11,841,84.95,0.84
76,0.415,0.831,-0.000,1376,1144,83.14,976,85.31,823,84.32,0.84
77,0.411,0.822,-0.000,1376,1151,83.65,972,84.45,812,83.54,0.84
78,0.412,0.823,-0.000,1376,1156,84.01,995,86.07,871,87.54,0.84
79,0.413,0.827,-0.000,1376,1157,84.08,947,81.85,798,84.27,0.84
80,0.410,0.820,-0.000,1376,1132,82.27,961,84.89,801,83.35,0.84
81,0.408,0.816,-0.000,1376,1169,84.96,959,82.04,807,84.15,0.84
82,0.409,0.817,-0.000,1376,1156,84.01,965,83.48,788,81.66,0.84
83,0.410,0.820,-0.000,1376,1133,82.34,964,85.08,811,84.13,0.84
84,0.414,0.828,-0.000,1376,1155,83.94,976,84.50,804,82.38,0.84
85,0.403,0.805,0.000,1376,1158,84.16,987,85.23,826,83.69,0.84
86,0.397,0.794,-0.000,1376,1178,85.61,993,84.30,830,83.59,0.84
87,0.397,0.794,-0.000,1376,1217,88.44,1000,82.17,824,82.40,0.83
88,0.396,0.793,-0.000,1376,1166,84.74,977,83.79,830,84.95,0.84
89,0.396,0.791,-0.000,1376,1194,86.77,995,83.33,819,82.31,0.83
90,0.393,0.787,-0.000,1376,1186,86.19,1005,84.74,830,82.59,0.84
91,0.395,0.789,-0.000,1376,1168,84.88,985,84.33,828,84.06,0.84
92,0.393,0.786,-0.000,1376,1160,84.30,970,83.62,800,82.47,0.84
93,0.391,0.782,-0.000,1376,1171,85.10,989,84.46,833,84.23,0.85
94,0.389,0.778,-0.000,1376,1198,87.06,982,81.97,812,82.69,0.84
95,0.391,0.783,-0.000,1376,1205,87.57,986,81.83,818,82.96,0.84
96,0.392,0.784,-0.000,1376,1187,86.26,981,82.65,818,83.38,0.84
97,0.388,0.775,-0.000,1376,1198,87.06,1009,84.22,829,82.16,0.84
98,0.396,0.770,0.021,1376,1202,87.35,1008,83.86,835,82.84,0.84
99,0.385,0.769,0.000,1376,1164,84.59,987,84.79,827,83.79,0.84
100,0.384,0.769,-0.000,1376,1177,85.54,980,83.26,815,83.16,0.84
